ID,Paved Drive,BsmtExposure,BsmtUnfinishedArea,ProximityToMainRoad2,KitchenQuality,SaleCondition,LivingArea,Lot Config,FenceQuality,SaleType,HalfBaths,Neighborhood,HeatingQuality,LotFrontage,RoofMaterial,Exterior1,Foundation,HouseType,YearRemodelled,MasVnrArea,Misc Feature,GarageFinish,ExteriorQual,UtilitiesAvailable,HouseStyle,MasVnrType,FireplaceQuality,EnclosedPorchArea,BsmtCondition,PoolSize,BsmtHeight,BsmtFullBaths,ScreenPorchArea,Misc,BsmtFinishType2,TotalRooms,YearBuilt,YearSold,BsmtFinish2Area,PoolQuality,OpenPorchArea,Fireplaces,RoofType,Functional,ExteriorCond,GarageCondition,TotalBsmtArea,Electrical,SeasonPorchArea,LowQualityFinishArea,ProximityToMainRoad,BsmtHalfBaths,GarageQuality,WoodDeckArea,ZoningClass,Bedrooms,TypeOfAlleyAccess,FullBaths,OverallRating,BsmtFinishType1,TypeOfRoadAccess,MonthSold,GarageCars,Shape,Flatness,HeatingType,Central Air,SlopeOfProperty,Exterior2,GarageArea,BsmtFinish1Area,Quality,GarageType,LotSize,Kitchens,GarageYearBuilt,BuildingClass,2ndFloorArea,1stFloorArea,SalePrice
186,Y,No,1321,Norm,TA,Abnorml,1114,Corner,,COD,0,NAmes,TA,90.0,CompShg,Plywood,CBlock,1Fam,1961,0.0,,RFn,TA,AllPub,1Story,None,,0,TA,0,TA,1,164,0,Unf,5,1961,2008,0,,0,0,Gable,Typ,Gd,TA,1321,SBrkr,0,0,Norm,0,TA,0,RL,3,,1,5,Unf,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,Plywood,451.0,0,5,Attchd,9900,1,1961.0,20,252,2158,172370.0
187,Y,No,613,Norm,TA,Normal,2461,Inside,GdWo,WD,0,NAmes,Gd,68.0,CompShg,MetalSd,CBlock,1Fam,2002,265.0,,Unf,Gd,AllPub,1.5Fin,BrkFace,Gd,0,TA,0,TA,0,0,0,Unf,7,1952,2010,0,,0,2,Gable,Min2,TA,TA,1347,SBrkr,0,0,Norm,0,TA,0,RL,3,,2,7,LwQ,Pave,3,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,400.0,734,5,Detchd,9724,1,1994.0,50,784,2973,235676.0
188,Y,Gd,364,Norm,Gd,Normal,1646,Corner,,WD,0,Crawfor,Ex,44.0,CompShg,CemntBd,PConc,TwnhsE,2005,186.0,,Fin,Gd,AllPub,1Story,Stone,Gd,0,TA,0,Ex,1,155,0,Unf,5,2004,2010,0,,53,1,Hip,Typ,TA,TA,1801,SBrkr,0,0,Artery,1,TA,128,RM,2,,2,5,GLQ,Pave,5,2.0,IR1,HLS,GasA,Y,Mod,CmentBd,525.0,1437,8,Attchd,3811,1,2004.0,120,252,2690,288916.0
189,Y,No,1698,Norm,Gd,Normal,1491,Corner,,WD,0,Mitchel,Ex,70.0,CompShg,VinylSd,PConc,1Fam,2001,0.0,,RFn,Gd,AllPub,1Story,None,,0,TA,0,Ex,0,0,0,Unf,7,2001,2006,0,,100,0,Hip,Typ,TA,TA,1698,SBrkr,0,0,Norm,0,TA,120,RL,3,,2,5,Unf,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,490.0,0,8,Attchd,9116,1,2001.0,20,252,2535,248284.0
190,Y,No,102,Norm,TA,Normal,1458,Inside,MnPrv,WD,1,Sawyer,TA,,CompShg,HdBoard,CBlock,1Fam,1967,450.0,,Unf,TA,AllPub,1Story,BrkFace,TA,0,TA,0,TA,1,0,0,LwQ,7,1967,2006,1023,,0,1,Gable,Typ,TA,TA,1383,SBrkr,0,0,Norm,0,TA,284,RL,3,,1,5,BLQ,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,HdBoard,512.0,258,5,Attchd,9535,1,1967.0,20,252,2502,199857.0
191,Y,No,464,Norm,Gd,Abnorml,1739,Inside,,WD,1,Somerst,Ex,24.0,CompShg,MetalSd,PConc,Twnhs,2000,456.0,,Fin,Gd,AllPub,2Story,BrkFace,,0,TA,0,Gd,1,0,0,Unf,7,1999,2009,0,,0,0,Gable,Typ,TA,TA,1177,SBrkr,0,0,Norm,0,TA,115,FV,3,Pave,2,5,GLQ,Pave,8,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,480.0,713,8,Attchd,2645,1,1999.0,160,1008,2027,208146.0
192,Y,No,443,Norm,TA,Normal,836,Inside,,WD,0,NPkVill,TA,24.0,CompShg,Plywood,CBlock,TwnhsE,1976,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,0,0,0,Unf,5,1976,2009,0,,20,0,Gable,Typ,TA,TA,1043,SBrkr,0,0,Norm,1,TA,150,RL,2,,1,6,ALQ,Pave,10,1.0,Reg,Lvl,GasA,Y,Gtl,Brk Cmn,345.0,600,7,Attchd,2104,1,1976.0,120,252,1880,159687.0
193,N,,0,Norm,TA,Normal,1152,Inside,,WD,0,Edwards,TA,74.0,CompShg,WdShing,Slab,Duplex,1955,58.0,,,TA,AllPub,1Story,BrkCmn,,0,,0,,0,0,0,,6,1955,2008,0,,0,0,Gable,Typ,TA,,0,FuseF,0,0,Norm,0,,0,RL,2,,2,5,,Pave,7,0.0,Reg,Lvl,GasA,N,Gtl,Wd Shng,0.0,0,4,,6845,2,,90,0,2196,109096.0
194,Y,,0,Norm,TA,Normal,1340,Inside,MnPrv,WD,0,Edwards,Ex,60.0,CompShg,Wd Sdng,PConc,1Fam,2006,98.0,,RFn,TA,AllPub,1Story,BrkFace,Gd,0,,0,,0,0,0,,7,1957,2007,0,,0,1,Hip,Typ,TA,TA,0,SBrkr,180,0,Artery,0,TA,116,RL,3,,1,6,,Pave,6,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,252.0,0,5,Attchd,9060,1,1957.0,20,0,2384,150392.0
195,Y,Av,877,Norm,Gd,Normal,1844,Inside,,WD,0,Crawfor,Gd,,CompShg,Plywood,CBlock,1Fam,1969,312.0,,RFn,Gd,AllPub,1Story,BrkFace,TA,216,TA,0,TA,1,0,0,Unf,7,1969,2006,0,,73,1,Gable,Typ,Gd,TA,2051,SBrkr,0,0,Norm,0,TA,0,RL,3,,2,5,Rec,Pave,12,2.0,IR1,Lvl,GasA,Y,Gtl,Plywood,540.0,1174,6,Attchd,16381,1,1969.0,20,252,2888,263896.0
196,N,No,987,Norm,TA,Normal,1020,Inside,,WD,0,Sawyer,Gd,54.0,CompShg,VinylSd,CBlock,1Fam,1996,0.0,,,TA,AllPub,1.5Fin,None,,176,TA,0,TA,0,0,0,Unf,6,1875,2010,0,,0,0,Gable,Typ,Gd,,987,SBrkr,0,0,Feedr,0,,0,RL,2,,1,8,Unf,Pave,5,0.0,Reg,Lvl,GasA,N,Gtl,VinylSd,0.0,0,5,,6342,1,,50,492,1824,121873.0
197,Y,No,563,Norm,TA,Normal,980,Inside,,WD,0,Sawyer,TA,71.0,CompShg,Plywood,CBlock,1Fam,1977,153.0,,Unf,TA,AllPub,1Story,BrkFace,,0,TA,0,TA,0,0,0,Unf,6,1977,2009,0,,0,0,Gable,Typ,TA,TA,1187,SBrkr,0,0,Norm,0,TA,192,RL,3,,1,6,BLQ,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,Plywood,484.0,624,5,Detchd,7064,1,1986.0,20,252,2024,166934.0
198,Y,Av,1146,Norm,Gd,Normal,1797,Inside,,WD,1,CollgCr,Ex,79.0,CompShg,VinylSd,PConc,1Fam,2006,0.0,,RFn,Gd,AllPub,2Story,None,,0,TA,0,Gd,0,0,0,Unf,8,2006,2007,0,,53,0,Gable,Typ,TA,TA,1146,SBrkr,0,0,Norm,0,TA,144,RL,3,,2,5,Unf,Pave,4,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,639.0,0,7,Attchd,9245,1,2006.0,60,1110,1983,253282.0
199,N,Gd,291,Norm,TA,Normal,1347,Inside,,WD,0,Edwards,TA,70.0,CompShg,MetalSd,CBlock,2fmCon,1991,0.0,,,TA,AllPub,2Story,None,,148,TA,0,Gd,1,0,0,Unf,5,1910,2008,0,,0,0,Gable,Typ,TA,,1324,SBrkr,0,0,Norm,0,,85,RL,3,,1,7,GLQ,Pave,1,0.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,0.0,1033,5,,7000,1,,190,779,1864,136663.0
200,Y,No,1579,Norm,Gd,Partial,1372,Inside,,New,0,Somerst,Ex,72.0,CompShg,VinylSd,PConc,1Fam,2008,0.0,,Fin,Gd,AllPub,1Story,None,,0,TA,0,Ex,0,0,0,Unf,6,2007,2008,0,,140,0,Gable,Typ,TA,TA,1579,SBrkr,0,0,Norm,0,TA,0,FV,3,,2,5,Unf,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,529.0,0,7,Attchd,8640,1,2008.0,20,252,2416,293962.0
201,Y,No,457,Norm,TA,Normal,1986,Inside,,WD,1,NAmes,TA,85.0,CompShg,HdBoard,CBlock,1Fam,1990,176.0,,Unf,TA,AllPub,2Story,BrkFace,Fa,0,TA,0,TA,0,189,0,Unf,7,1965,2009,0,,42,3,Gable,Typ,TA,TA,975,SBrkr,0,0,Norm,0,TA,0,RL,3,,2,6,BLQ,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,486.0,518,7,Attchd,13600,1,1965.0,60,1052,2230,243806.0
202,Y,No,335,Norm,TA,Normal,955,Inside,MnPrv,WD,0,Sawyer,Ex,66.0,CompShg,HdBoard,CBlock,1Fam,1966,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,1,0,0,Unf,6,1966,2007,0,,0,0,Gable,Typ,TA,TA,1162,SBrkr,0,0,Norm,0,TA,0,RL,3,,1,7,BLQ,Pave,1,1.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,386.0,827,5,Attchd,7742,1,1966.0,20,252,1999,158054.0
203,Y,No,777,Norm,Gd,Normal,2068,Corner,,WD,1,BrkSide,TA,,CompShg,Wd Sdng,BrkTil,1Fam,2005,0.0,,Unf,TA,AllPub,2.5Unf,None,Gd,60,TA,0,Gd,0,0,0,Unf,8,1922,2010,0,,0,1,Gable,Typ,TA,TA,1315,FuseA,0,0,Norm,0,TA,0,RL,3,,1,7,BLQ,Pave,5,1.0,IR1,Bnk,GasA,N,Gtl,Wd Sdng,315.0,538,7,Detchd,7793,1,1928.0,75,1160,2204,248696.0
204,Y,No,822,Norm,TA,Normal,1582,Inside,,WD,0,BrkSide,TA,51.0,CompShg,Wd Sdng,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,Gd,34,Fa,0,TA,0,0,0,Unf,6,1938,2009,0,,0,1,Gable,Typ,TA,TA,1159,FuseA,150,0,Norm,0,Fa,189,RM,3,,2,6,LwQ,Pave,2,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,250.0,337,5,Detchd,6120,1,1938.0,50,840,2038,183497.0
205,Y,No,618,Norm,TA,Partial,789,Inside,,WD,0,OldTown,Ex,50.0,CompShg,VinylSd,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,0,0,0,BLQ,5,1948,2008,210,,0,0,Gable,Typ,TA,TA,996,SBrkr,0,0,Norm,0,TA,0,RM,2,,1,5,ALQ,Pave,4,1.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,250.0,168,5,Detchd,6000,1,1948.0,20,252,1833,144999.0
206,Y,No,624,Norm,TA,Normal,912,Inside,MnWw,WD,0,NAmes,Fa,70.0,CompShg,MetalSd,CBlock,1Fam,1985,0.0,Shed,Fin,TA,AllPub,1Story,None,,0,TA,0,TA,0,0,480,LwQ,5,1958,2007,320,,285,0,Gable,Typ,TA,TA,1119,SBrkr,0,0,Norm,1,TA,12,RL,2,,1,7,BLQ,Pave,6,1.0,IR1,Lvl,GasA,Y,Gtl,MetalSd,297.0,175,5,Attchd,7535,1,1958.0,20,252,1956,150280.0
207,Y,Mn,442,Norm,TA,Normal,1717,Inside,,WD,1,Crawfor,TA,80.0,CompShg,Wd Sdng,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,Gd,0,TA,0,Gd,0,113,0,Unf,7,1940,2006,0,,0,1,Gable,Typ,TA,TA,1108,SBrkr,0,0,Norm,0,TA,0,RL,2,,1,6,BLQ,Pave,2,1.0,Reg,HLS,GasA,Y,Mod,Wd Sdng,410.0,666,5,Attchd,12400,1,1940.0,50,844,2169,231800.0
208,Y,No,928,Norm,TA,Normal,1456,Inside,,WD,1,NPkVill,Gd,24.0,CompShg,Plywood,CBlock,Twnhs,1976,0.0,,RFn,TA,AllPub,2Story,None,TA,0,TA,0,Gd,0,0,0,Unf,6,1976,2006,0,,28,1,Gable,Typ,TA,TA,1062,SBrkr,0,0,Norm,0,TA,0,RL,3,,2,5,ALQ,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,Brk Cmn,460.0,134,6,Attchd,2179,1,1976.0,160,853,1899,176833.0
209,Y,Mn,1124,Norm,Ex,Normal,2007,Corner,,WD,0,OldTown,Gd,70.0,CompShg,Stucco,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,2Story,None,,0,Gd,0,Fa,0,0,0,Unf,8,1900,2009,0,,235,0,Gable,Typ,TA,TA,1124,FuseA,0,0,Artery,0,TA,0,RM,3,,2,7,Unf,Pave,6,1.0,Reg,Lvl,GasA,Y,Gtl,BrkFace,357.0,0,6,Detchd,8400,1,1930.0,70,1169,2134,194171.0
210,Y,No,1348,Norm,TA,Abnorml,1141,Inside,,WD,1,SawyerW,Ex,63.0,CompShg,VinylSd,PConc,1Fam,2005,0.0,,Unf,Gd,AllPub,1Story,None,,0,TA,0,Gd,0,0,0,Unf,6,2005,2006,0,,0,0,Gable,Typ,TA,TA,1348,SBrkr,0,0,RRAe,0,TA,0,RL,3,,1,5,Unf,Pave,3,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,484.0,0,6,Detchd,13072,1,2005.0,20,252,2185,175021.0
211,Y,No,568,Norm,TA,Normal,2358,Inside,,WD,0,OldTown,Fa,50.0,CompShg,MetalSd,BrkTil,1Fam,1987,0.0,,,TA,AllPub,2Story,None,,20,Fa,0,TA,0,0,0,Unf,8,1872,2008,0,,54,0,Gable,Typ,Gd,,891,SBrkr,0,205,Norm,0,,0,RM,4,Pave,2,5,LwQ,Pave,12,0.0,Reg,Lvl,OthW,N,Gtl,MetalSd,0.0,323,8,,5250,1,,70,1467,1982,152515.0
212,Y,No,102,Norm,TA,Normal,882,Corner,MnPrv,WD,0,NAmes,TA,70.0,CompShg,Plywood,CBlock,1Fam,1970,0.0,,Fin,TA,AllPub,1Story,None,,0,TA,0,TA,1,0,0,Rec,4,1970,2010,119,,0,0,Gable,Typ,TA,TA,1089,SBrkr,0,0,Norm,0,TA,240,RL,2,,1,5,ALQ,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,Plywood,525.0,868,4,Attchd,8400,1,1970.0,20,252,1926,157059.0
213,Y,No,1702,Norm,TA,Normal,1495,Inside,,WD,0,Timber,Ex,75.0,CompShg,Wd Sdng,CBlock,1Fam,1989,128.0,,Unf,TA,AllPub,1Story,BrkFace,TA,192,TA,0,Gd,0,0,0,Unf,8,1989,2008,0,,0,1,Gable,Typ,TA,TA,1702,SBrkr,0,0,Norm,0,TA,252,RL,3,,2,5,Unf,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,Wd Sdng,438.0,0,6,Attchd,12890,1,1989.0,20,252,2539,183383.0
214,Y,No,1139,Norm,Gd,Normal,2640,Inside,,WD,1,NWAmes,Gd,80.0,CompShg,MetalSd,PConc,1Fam,1997,256.0,,RFn,TA,AllPub,2Story,BrkFace,TA,0,TA,0,TA,0,168,0,Unf,8,1967,2009,0,,120,1,Gable,Typ,TA,TA,1139,SBrkr,0,0,PosA,0,TA,0,RL,5,,2,7,Unf,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,515.0,0,6,Attchd,10400,1,1967.0,60,1621,2315,300967.0
215,Y,Gd,309,Norm,TA,Normal,1040,CulDSac,GdPrv,WD,0,Sawyer,Fa,,CompShg,HdBoard,CBlock,1Fam,1978,200.0,,Unf,TA,AllPub,SLvl,BrkFace,Fa,0,Gd,0,TA,1,180,0,Unf,6,1978,2006,0,,0,1,Gable,Typ,TA,TA,1167,SBrkr,0,0,Norm,0,TA,131,RL,3,,1,6,GLQ,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,HdBoard,616.0,858,6,Detchd,7176,1,1979.0,80,252,2084,194822.0
216,Y,Av,1191,Norm,Ex,Normal,1484,Inside,,WD,0,Timber,Ex,64.0,CompShg,VinylSd,PConc,1Fam,2006,32.0,,RFn,Gd,AllPub,1Story,BrkFace,Gd,0,TA,0,Gd,0,0,0,Unf,6,2006,2007,0,,33,1,Hip,Typ,TA,TA,1683,SBrkr,0,0,Norm,0,TA,120,RL,2,,2,5,GLQ,Pave,12,2.0,IR1,HLS,GasA,Y,Gtl,VinylSd,472.0,492,8,Attchd,9037,1,2006.0,20,252,2528,310917.0
217,Y,No,904,Norm,TA,Normal,1801,Inside,MnPrv,WD,1,Crawfor,Ex,70.0,CompShg,Wd Sdng,PConc,1Fam,1959,0.0,,Unf,TA,AllPub,2Story,None,Gd,0,TA,0,TA,0,0,0,Unf,8,1930,2006,0,,90,1,Gable,Typ,TA,TA,904,SBrkr,0,0,Norm,0,Fa,0,RL,3,,1,7,Unf,Pave,11,2.0,IR1,Lvl,GasA,Y,Gtl,Wd Sdng,365.0,0,6,Attchd,14210,1,1930.0,70,949,2148,249251.0
218,Y,Av,200,Norm,TA,Normal,918,Inside,,WD,0,Mitchel,TA,,CompShg,Plywood,CBlock,1Fam,1975,50.0,,Unf,TA,AllPub,SLvl,Stone,,0,TA,0,TA,0,0,0,GLQ,4,1975,2007,571,,84,0,Gable,Typ,TA,TA,1059,SBrkr,0,0,Norm,1,TA,192,RL,3,,1,6,Rec,Pave,3,1.0,IR1,Lvl,GasA,Y,Gtl,Plywood,360.0,288,7,Attchd,8750,0,1975.0,80,252,1962,180933.0
219,Y,No,1799,Norm,Ex,Normal,1684,Inside,,WD,0,NridgHt,Ex,63.0,CompShg,MetalSd,PConc,TwnhsE,2005,616.0,,RFn,Ex,AllPub,1Story,BrkFace,Ex,0,TA,0,Ex,0,0,0,Unf,6,2005,2008,0,,72,1,Hip,Typ,TA,TA,1891,SBrkr,0,0,Norm,0,TA,495,RL,2,,2,5,GLQ,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,MetalSd,564.0,92,9,Attchd,8849,1,2005.0,120,252,2728,311224.0
220,Y,No,599,Norm,TA,Abnorml,2499,FR2,,WD,1,Veenker,Ex,80.0,CompShg,Plywood,CBlock,1Fam,1976,200.0,,Unf,Gd,AllPub,SLvl,BrkFace,Gd,0,TA,0,TA,0,0,0,Unf,5,1976,2009,0,,64,1,Gable,Typ,Gd,TA,599,SBrkr,0,0,Feedr,0,TA,0,RL,4,,2,5,Unf,Pave,1,2.0,Reg,Low,GasA,Y,Mod,Plywood,527.0,0,8,Attchd,9600,1,1976.0,80,1264,2531,216711.0
221,Y,No,143,Norm,TA,Normal,1220,Inside,,COD,0,Edwards,TA,67.0,CompShg,Wd Sdng,CBlock,1Fam,1951,0.0,,Unf,TA,AllPub,1Story,None,,0,Fa,0,Fa,0,0,0,Unf,6,1951,2006,0,,0,0,Gable,Typ,TA,TA,1043,FuseF,0,0,Norm,0,TA,0,RL,2,,1,5,LwQ,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,396.0,900,4,Detchd,8877,1,1951.0,20,252,2264,130440.0
222,Y,No,987,Norm,TA,Normal,1200,Inside,,WD,0,IDOTRR,Gd,58.0,CompShg,Wd Sdng,CBlock,1Fam,1950,0.0,,,TA,AllPub,1.5Fin,None,,96,TA,0,Gd,0,0,0,Unf,7,1930,2008,0,,0,0,Gable,Typ,TA,,987,FuseA,0,0,Norm,0,,0,RM,4,,1,7,Unf,Pave,7,0.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,0.0,0,5,,8155,1,,50,672,1824,149253.0
223,Y,Av,478,Norm,Gd,Normal,1611,Corner,,WD,0,CollgCr,Ex,90.0,CompShg,VinylSd,PConc,1Fam,2002,0.0,,RFn,Gd,AllPub,1Story,None,,0,TA,0,Gd,1,0,0,Unf,6,2002,2009,0,,93,0,Hip,Typ,TA,TA,1776,SBrkr,0,0,Norm,0,TA,262,RL,3,,2,5,GLQ,Pave,9,3.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,1231.0,1298,7,Attchd,11664,1,2002.0,20,252,2655,293160.0
224,Y,No,588,Norm,TA,Abnorml,992,Corner,MnPrv,Oth,0,Edwards,Ex,68.0,CompShg,VinylSd,CBlock,1Fam,1954,0.0,,Unf,TA,AllPub,1Story,None,,56,TA,0,Fa,0,0,0,Unf,6,1954,2010,0,,0,0,Gable,Typ,Gd,TA,588,SBrkr,0,0,Norm,0,TA,60,RL,3,,1,6,Unf,Pave,1,1.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,319.0,0,5,Detchd,8842,1,1954.0,20,252,2036,189887.0
225,Y,Mn,464,Norm,TA,Normal,1107,Inside,MnPrv,COD,0,IDOTRR,Fa,50.0,CompShg,Wd Sdng,BrkTil,1Fam,1975,0.0,,Unf,TA,AllPub,1.5Fin,None,,0,TA,0,TA,0,200,0,Unf,5,1921,2010,0,,56,0,Gable,Typ,TA,TA,836,SBrkr,0,0,Norm,0,TA,0,RM,2,,1,5,BLQ,Pave,4,1.0,Reg,HLS,GasA,Y,Gtl,Wd Sdng,625.0,372,6,Detchd,9140,1,1950.0,50,632,1771,139338.0
226,N,No,1099,Norm,TA,Normal,1436,Inside,GdWo,WD,0,OldTown,Ex,60.0,CompShg,Wd Sdng,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,Gd,100,TA,0,TA,0,0,0,Unf,7,1922,2008,0,,0,1,Gable,Typ,TA,TA,1099,SBrkr,0,0,Norm,1,Fa,0,RL,3,Grvl,1,5,Unf,Pave,6,4.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,1488.0,0,5,Detchd,10836,1,1968.0,50,434,2298,171309.0
227,Y,No,102,Norm,Gd,Normal,1309,Inside,GdPrv,WD,1,NWAmes,Fa,78.0,CompShg,HdBoard,CBlock,1Fam,1999,99.0,,RFn,TA,AllPub,1Story,BrkFace,Fa,0,TA,648,TA,1,0,0,LwQ,5,1974,2006,418,Fa,0,1,Hip,Typ,TA,TA,1247,SBrkr,0,0,Norm,0,TA,265,RL,3,,1,6,ALQ,Pave,1,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,484.0,727,6,Attchd,10140,1,1974.0,20,252,2353,217278.0
228,Y,No,436,Norm,TA,Normal,1051,Corner,,WD,0,NAmes,Gd,80.0,CompShg,MetalSd,CBlock,1Fam,1968,0.0,,RFn,TA,AllPub,1Story,None,,0,TA,0,TA,1,0,0,Unf,6,1968,2006,0,,0,0,Gable,Typ,TA,TA,1258,SBrkr,0,0,Feedr,0,TA,0,RL,3,,1,5,ALQ,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,504.0,822,5,Attchd,9600,1,1968.0,20,252,2095,174556.0
229,N,No,928,Norm,TA,Normal,841,Inside,,WD,0,SawyerW,Gd,60.0,CompShg,Wd Sdng,CBlock,1Fam,1950,0.0,,Unf,Fa,AllPub,1Story,None,,24,Fa,0,TA,0,0,0,Unf,4,1950,2009,0,,0,0,Gable,Typ,Fa,TA,928,SBrkr,0,0,Feedr,0,TA,250,RH,2,,1,4,Unf,Pave,9,1.0,Reg,Lvl,GasA,Y,Gtl,AsbShng,294.0,0,4,CarPort,8400,1,1950.0,20,252,1885,108549.0
230,Y,No,665,Norm,TA,Abnorml,788,Corner,GdWo,WD,0,BrkSide,TA,,CompShg,WdShing,CBlock,1Fam,1950,0.0,,,TA,AllPub,1Story,None,TA,0,TA,0,TA,0,0,0,Unf,4,1941,2006,0,,0,2,Gable,Typ,TA,,995,FuseA,0,0,Feedr,0,,0,RL,2,,1,5,Rec,Pave,4,0.0,Reg,Lvl,GasA,Y,Gtl,Wd Shng,0.0,330,4,,7446,1,,30,252,1832,128367.0
231,Y,No,649,Norm,Gd,Normal,1113,Inside,,WD,0,NAmes,Gd,80.0,CompShg,MetalSd,CBlock,1Fam,2007,0.0,,Unf,Gd,AllPub,1Story,None,Gd,120,TA,0,TA,0,0,0,Unf,5,1950,2009,0,,80,1,Gable,Typ,TA,TA,1320,SBrkr,0,0,Norm,0,TA,0,RL,3,,1,7,ALQ,Pave,7,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,264.0,671,5,Attchd,9600,1,1950.0,20,252,2157,179984.0
232,Y,No,625,Norm,TA,Normal,1556,Corner,,WD,0,NAmes,TA,120.0,CompShg,MetalSd,CBlock,1Fam,1950,340.0,,Unf,TA,AllPub,1.5Fin,Stone,Gd,150,TA,0,TA,0,0,0,Unf,6,1949,2010,0,,0,1,Gable,Typ,Gd,TA,989,SBrkr,0,0,Artery,0,TA,0,RL,3,,2,6,Rec,Pave,1,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,470.0,364,6,Attchd,17360,1,1949.0,50,789,2063,207968.0
233,Y,No,454,Norm,Gd,Alloca,1828,Inside,MnPrv,WD,0,IDOTRR,Ex,50.0,CompShg,Wd Sdng,BrkTil,1Fam,1999,0.0,,,TA,AllPub,2Story,None,,212,TA,0,Gd,0,0,0,Unf,6,1923,2007,0,,0,0,Gable,Typ,TA,,1066,SBrkr,0,0,Norm,0,,174,RM,3,,2,6,ALQ,Pave,3,,Reg,Lvl,GasA,Y,Gtl,Plywood,,612,5,Detchd,9060,1,,70,1138,1986,184407.0
234,Y,No,907,Norm,Fa,Normal,1180,Inside,,WD,0,Crawfor,Ex,80.0,CompShg,MetalSd,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,Gd,67,TA,0,Fa,0,0,0,Unf,5,1922,2006,0,,0,1,Gable,Typ,TA,Fa,907,SBrkr,0,0,Norm,0,TA,0,RL,2,,1,5,Unf,Pave,7,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,252.0,0,4,Detchd,11600,1,1922.0,30,252,2224,169780.0
235,Y,No,923,Norm,TA,Normal,2014,Corner,,WD,0,OldTown,Ex,62.0,CompShg,CemntBd,PConc,1Fam,2005,0.0,,Unf,Gd,AllPub,2Story,None,,167,TA,0,Fa,0,0,0,Unf,8,1900,2006,0,,72,0,Hip,Typ,Gd,TA,923,FuseA,0,0,Norm,0,TA,0,RM,5,Grvl,2,8,Unf,Pave,6,2.0,Reg,Lvl,GasA,Y,Gtl,CmentBd,624.0,0,5,Detchd,9856,1,1900.0,70,1259,2051,204260.0
236,Y,No,502,Norm,TA,Normal,1422,Inside,GdWo,WD,0,NAmes,TA,63.0,CompShg,MetalSd,CBlock,1Fam,1990,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,1,0,0,Unf,7,1970,2007,0,,0,0,Gable,Min2,TA,TA,1132,SBrkr,0,0,Norm,0,TA,252,RL,3,,1,6,ALQ,Pave,9,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,576.0,630,5,Detchd,9457,1,1988.0,20,252,2466,188757.0
